timestamp,hyperUnique_unique_agents,longSum_total_records,discrete_visit_planningarea,discrete_visit_planningregion,discrete_visit_subzone
2018-01-01T00:00:00.000+08:00,21407,333891,SG,NER,SGSZ05
2018-01-01T00:00:00.000+08:00,88341,1186427,SG,NER,SGSZ06
2018-01-01T00:00:00.000+08:00,14703,202188,SG,NER,SGSZ07
2018-01-01T00:00:00.000+08:00,11192,106913,SL,NER,SLSZ01
2018-01-01T00:00:00.000+08:00,19994,691550,SL,NER,SLSZ03
2018-01-01T00:00:00.000+08:00,22600,96148,SL,NER,SLSZ04
2018-01-01T00:00:00.000+08:00,36935,321694,BK,WR,BKSZ01
2018-01-01T00:00:00.000+08:00,32517,745116,BK,WR,BKSZ02
2018-01-01T00:00:00.000+08:00,9851,211710,BK,WR,BKSZ04
2018-01-01T00:00:00.000+08:00,20593,596238,BK,WR,BKSZ05
2018-01-01T00:00:00.000+08:00,29673,445916,BK,WR,BKSZ06
2018-01-01T00:00:00.000+08:00,59974,813545,BK,WR,BKSZ07
2018-01-01T00:00:00.000+08:00,24646,489665,BK,WR,BKSZ08
2018-01-01T00:00:00.000+08:00,45413,826835,BK,WR,BKSZ09
2018-01-01T00:00:00.000+08:00,28878,327999,BL,WR,BLSZ01
2018-01-01T00:00:00.000+08:00,24860,310458,BL,WR,BLSZ02
2018-01-01T00:00:00.000+08:00,8080,149027,BL,WR,BLSZ03
2018-01-01T00:00:00.000+08:00,3173,45197,BL,WR,BLSZ04
2018-01-01T00:00:00.000+08:00,29006,408394,BP,WR,BPSZ01
2018-01-01T00:00:00.000+08:00,32084,641104,BP,WR,BPSZ02
2018-01-01T00:00:00.000+08:00,26843,477476,BP,WR,BPSZ03
2018-01-01T00:00:00.000+08:00,64272,618439,BP,WR,BPSZ04
2018-01-01T00:00:00.000+08:00,35208,594664,BP,WR,BPSZ05
2018-01-01T00:00:00.000+08:00,9388,149562,BP,WR,BPSZ06
2018-01-01T00:00:00.000+08:00,8442,67019,BP,WR,BPSZ07
