timestamp,discrete_visit_planningarea,hyperUnique_unique_agents,longSum_total_records,discrete_visit_planningregion,discrete_visit_subzone
2018-01-02T00:00:00.000+08:00,CR,23194,331217,TP,TPSZ06
2018-01-02T00:00:00.000+08:00,CR,5837,83938,TP,TPSZ07
2018-01-02T00:00:00.000+08:00,CR,42333,566991,TP,TPSZ09
2018-01-02T00:00:00.000+08:00,CR,15321,20331,TP,TPSZ10
2018-01-02T00:00:00.000+08:00,CR,16646,19854,TP,TPSZ11
2018-01-02T00:00:00.000+08:00,CR,52599,808196,TP,TPSZ12
2018-01-03T00:00:00.000+08:00,CR,72413,951695,BM,BMSZ01
2018-01-03T00:00:00.000+08:00,CR,31247,381144,BM,BMSZ02
2018-01-03T00:00:00.000+08:00,CR,19536,107557,BM,BMSZ03
2018-01-03T00:00:00.000+08:00,CR,53727,416065,BM,BMSZ04
2018-01-03T00:00:00.000+08:00,CR,34557,446591,BM,BMSZ05
2018-01-03T00:00:00.000+08:00,CR,25689,186943,BM,BMSZ06
2018-01-03T00:00:00.000+08:00,CR,75487,961110,BM,BMSZ07
2018-01-03T00:00:00.000+08:00,CR,26745,389637,BM,BMSZ08
2018-01-03T00:00:00.000+08:00,CR,56414,678672,BM,BMSZ09
2018-01-03T00:00:00.000+08:00,CR,46074,351597,BM,BMSZ10
2018-01-03T00:00:00.000+08:00,CR,44195,328431,BM,BMSZ11
2018-01-03T00:00:00.000+08:00,CR,10909,109912,BM,BMSZ12
2018-01-03T00:00:00.000+08:00,CR,33557,521226,BM,BMSZ13
2018-01-03T00:00:00.000+08:00,CR,26722,322296,BM,BMSZ14
2018-01-03T00:00:00.000+08:00,CR,23350,319356,BM,BMSZ15
2018-01-03T00:00:00.000+08:00,CR,67261,618686,BM,BMSZ16
2018-01-03T00:00:00.000+08:00,CR,72306,550896,BM,BMSZ17
2018-01-03T00:00:00.000+08:00,CR,71612,1289558,BS,BSSZ01
